backend,batch,rate_hz,count,p50_ns,p99_ns,p999_ns,max_ns,iqr_ns,mean_ns
cuda-naive,128,0,20000,88500,409800,1.2567e+06,7.5228e+06,28000,110693
cuda-graphs,128,0,20000,127500,470200,1.7144e+06,6.78494e+07,46000,144260
persistent,128,0,2343,739600,1.696e+06,7.4855e+06,1.02573e+07,21900,786868
cpu,128,1000,20000,76100,344100,2.6241e+06,2.122e+07,6600,91785.9
cuda-naive,128,1000,20000,101400,1.2972e+06,3.9721e+06,1.50944e+07,12600,191412
cuda-graphs,128,1000,20000,174300,1.5783e+06,4.2916e+06,4.74858e+07,66400,268913
cpu,128,10000,20000,42900,198100,996500,6.1001e+06,24000,52622.1
cuda-naive,128,10000,20000,119900,517600,1.5705e+06,2.68995e+07,12800,137422
cuda-graphs,128,10000,20000,149400,455700,2.2274e+06,1.68595e+08,5900,173495
cpu,128,50000,20000,34500,119300,882700,4.0297e+06,1100,39400.4
cuda-naive,128,50000,20000,119900,452400,1.4736e+06,3.1614e+07,14400,135803
cuda-graphs,128,50000,20000,149000,508900,1.826e+06,2.72784e+07,3300,170129
cpu,128,100000,20000,34700,145100,887900,2.76808e+07,1100,41873.2
cuda-naive,128,100000,20000,111500,440400,1.8614e+06,6.28736e+07,37400,126605
cuda-graphs,128,100000,20000,101800,327300,1.022e+06,6.164e+06,11200,118013
cpu,128,250000,20000,35000,138000,1.1565e+06,3.3245e+06,8300,47072.6
cuda-naive,128,250000,20000,85100,281500,953400,4.14923e+07,16700,99850.3
cuda-graphs,128,250000,20000,102900,370100,1.5681e+06,1.1438e+07,36100,124990
cpu,256,0,20000,96700,342600,1.3498e+06,6.9225e+06,51900,108944
cuda-naive,256,0,20000,87300,315300,1.017e+06,1.6735e+07,11700,101296
cuda-graphs,256,0,20000,105700,371300,1.3635e+06,5.7913e+06,11900,122269
persistent,256,0,1171,1.4768e+06,2.1388e+06,3e+06,3.2744e+06,43300,1.50625e+06
cpu,256,1000,20000,151500,635700,2.8272e+06,1.54826e+07,12800,172586
cuda-naive,256,1000,20000,131200,1.3443e+06,4.9176e+06,2.05777e+08,63300,241349
cuda-graphs,256,1000,20000,137800,1.2997e+06,4.0829e+06,4.2966e+07,20500,238476
cpu,256,10000,20000,68900,361200,2.0248e+06,2.12584e+07,2200,82887.1
cuda-naive,256,10000,20000,85700,450300,2.3043e+06,2.82221e+07,4800,103876
cuda-graphs,256,10000,20000,104500,423700,2.8856e+06,3.19643e+07,5700,127421
cpu,256,50000,20000,69200,336200,1.4917e+06,3.14003e+07,2300,84410.4
cuda-naive,256,50000,20000,83900,323400,1.2272e+06,3.48696e+07,7400,97046.3
cuda-graphs,256,50000,20000,103600,346200,1.8934e+06,3.10633e+07,4400,119335
cpu,256,100000,20000,69000,353400,1.3069e+06,7.9909e+06,2100,79981.8
cuda-naive,256,100000,20000,83000,316300,1.1286e+06,2.61608e+07,5900,95758
cuda-graphs,256,100000,20000,104500,388800,1.4336e+06,3.03548e+07,6400,122578
cpu,256,250000,20000,69500,329300,1.516e+06,2.80429e+07,3000,85522.5
cuda-naive,256,250000,20000,84700,428900,2.2786e+06,2.7295e+07,5400,103292
cuda-graphs,256,250000,20000,105200,371700,1.6442e+06,2.84683e+07,4300,121890
